type,title,band
既存曲,吉原ラメント 再来盤,バーチャル・シンガー
既存曲,マンハッタン,バーチャル・シンガー
既存曲,クイーンオブハート,バーチャル・シンガー
既存曲,バレリーコ,バーチャル・シンガー
既存曲,花に風,Vivid BAD SQUAD
既存曲,スーサイドパレヱド,25時、ナイトコードで。
公募曲,星宙メランコリア,バーチャル・シンガー
既存曲,回る空うさぎ,MORE MORE JUMP！
書き下ろし楽曲,オールセーブチャレンジ,ワンダーランズ×ショウタイム
既存曲,チルノのパーフェクトさんすう学園,バーチャル・シンガー
既存曲,とうほう☆ワンダーランド,ワンダーランズ×ショウタイム
既存曲,超ナイト・オブ・ナイツ,その他
書き下ろし楽曲,虚無さん,25時、ナイトコードで。
既存曲,紗痲,Vivid BAD SQUAD
既存曲,失敗作少女,25時、ナイトコードで。
公募曲,フィッシュアンドTips,バーチャル・シンガー
既存曲,Connecting,バーチャル・シンガー
既存曲,エンヴィキャットウォーク,Leo/need
書き下ろし楽曲,イレヴンス,MORE MORE JUMP！
書き下ろし楽曲,光線歌,Vivid BAD SQUAD
既存曲,テトリス,バーチャル・シンガー
既存曲,このふざけた素晴らしき世界は、僕の為にある,ワンダーランズ×ショウタイム
既存曲,モニタリング,バーチャル・シンガー
公募曲,庭師のおはなしによると,バーチャル・シンガー
書き下ろし楽曲,Twilight Melody,バーチャル・シンガー
既存曲,M@GICAL☆CURE! LOVE ♥ SHOT!,バーチャル・シンガー
既存曲,Hello Builder,バーチャル・シンガー
既存曲,imaginary love story,バーチャル・シンガー
既存曲,Intergalactic Bound,バーチャル・シンガー
公募曲,笑えたらえーやん！,バーチャル・シンガー
書き下ろし楽曲,アイリッド,ワンダーランズ×ショウタイム
書き下ろし楽曲,透明なパレット,Leo/need
公募曲,エクスプロウル,バーチャル・シンガー
書き下ろし楽曲,ありのままのストーリーを,MORE MORE JUMP！
既存曲,生きる,25時、ナイトコードで。
公募曲,花弁、それにまつわる音声,バーチャル・シンガー
公募曲,マリオネットダンサー,バーチャル・シンガー
既存曲,Life Will Change,バーチャル・シンガー
書き下ろし楽曲,アクセラレイト,Vivid BAD SQUAD
既存曲,Surges,Vivid BAD SQUAD
公募曲,リリィララ,バーチャル・シンガー
公募曲,SAN値直葬,バーチャル・シンガー
書き下ろし楽曲,飾って,25時、ナイトコードで。
既存曲,ラストラス,バーチャル・シンガー
書き下ろし楽曲,サヨナラ天国また来て地獄,ワンダーランズ×ショウタイム
既存曲,8.32,MORE MORE JUMP！
既存曲,あの夏が飽和する。,25時、ナイトコードで。
既存曲,深海シティアンダーグラウンド,Leo/need
公募曲,ブラッドドール,バーチャル・シンガー
既存曲,偽物人間40号,Vivid BAD SQUAD
書き下ろし楽曲,ペンタトニック,その他
既存曲,おどりゃんせ,Leo/need
既存曲,少女A,バーチャル・シンガー
既存曲,東京サマーセッション,MORE MORE JUMP！
既存曲,ヴィーナス,バーチャル・シンガー
既存曲,ハウトゥー世界征服,Vivid BAD SQUAD
既存曲,げんてん,バーチャル・シンガー
既存曲,人マニア,ワンダーランズ×ショウタイム
既存曲,㋰責任集合体,バーチャル・シンガー
既存曲,ロストアンブレラ,25時、ナイトコードで。
既存曲,ホワイトハッピー,バーチャル・シンガー
書き下ろし楽曲,ネクラチューンサーカス,バーチャル・シンガー
既存曲,カレシのジュード,バーチャル・シンガー
既存曲,パメラ,バーチャル・シンガー
書き下ろし楽曲,スター,Leo/need
書き下ろし楽曲,あなたの空が泣くのなら,MORE MORE JUMP！
公募曲,アベリア,バーチャル・シンガー
既存曲,ルマ,MORE MORE JUMP！
既存曲,ロケットサイダー,Leo/need
書き下ろし楽曲,その絵の名前は,25時、ナイトコードで。
公募曲,金時計,バーチャル・シンガー
書き下ろし楽曲,征け,ワンダーランズ×ショウタイム
書き下ろし楽曲,ファイター,Vivid BAD SQUAD
既存曲,IMAWANOKIWA,バーチャル・シンガー
書き下ろし楽曲,怪獣になりたい,バーチャル・シンガー
公募曲,0.0000034,バーチャル・シンガー
書き下ろし楽曲,花結び,Leo/need
既存曲,電光刹歌,バーチャル・シンガー
